"target","pos","target_id","context"
"Come","v","t:0bc0ac48c9799fcae60eb1b1f6bc63a29ccc4d53","In a blink of the strobe light, he was on his feet and dashing from the room. “Come on!” shouted Nepthys."
"Here","r","t:09adc374bce560d29f9d2cb66a41184f0066eee7","She opened the door and took us past several doors marked with odd geometrical designs to another locked room. “Here it is,” she said. With a flourish, she opened the door to reveal a room with walls inlaid with lapis and gold wire, intricate patterns like a Czar’s jewelry box crawling down the walls."
"Last","a","t:63679d102d1cafeb266dcab8fcb4bf918d504b33","“I need to file a missing persons report. …Rachel Frieze. Last night, walking on West 2nd street around – maybe eleven or twelve o’clock. What?"
"Let","v","t:30993b7e61100f5a88e2543c7f15f53bc960568a","It’s been over a week, and I want to dance. Let’s go together, you know you’ll have fun once you get into it.” She bit the inside of her bottom lip, looking at me like I was breaking her poor, sweet heart."
"Let","v","t:5a2aae50f0cb141a3ebc38b29feb453badf2e353","“All right, then. Let me see if I can find him.” Isis closed her eyes and lifted her hands."
"Let","v","t:9ad9ee4f41c7bbf925567fc46adaa521d1a676ab","“You’ve got a deal. Let’s go.” As we headed down the sidewalk, I said, “What is your name, anyway?”"
"Moreover","r","t:a770ee27b182740468dc63692667b7e652237a48","One expert, whose job is so politically sensitive that he spoke on condition that he wouldn't be named or quoted, said the expected influx of East European refugees over the next few years will greatly increase the chances of computer-maintenance workers, for example, doubling as foreign spies. Moreover, he said, technology now exists for stealing corporate secrets after they've been 'erased' from a computer's memory. He said that Oliver North of Iran-Contra notoriety thought he had erased his computer but that the information was later retrieved for congressional committees to read."
"Name","n","t:1396647b48c786b87df9b55f65d2bb32c8131f59","I couldn’t move. “Name me,” she said. I opened my mouth to ask for an explanation, but Nepthys stopped me."
"Really","r","t:f9e461e089a0a1134a86817c487efc4337b9c502","“Ah, I think I’m fine, thanks,” I told him, and turned back to the sidewalk. “Really, I’d like to help. Please, hop in."
"Step","n","t:dd4c87ea2cdf011db21f08f098d907ccebb32d8e","“True, true. Step behind the cart and enter through the door there, using your left hand to open the door and your right – ” he looked at me “ – to close it.”"
"Suddenly","r","t:b2759a395bae8d9d501e991417c77f46cc4a1e9d","I shook him off and squeezed between two dancing nymphs, getting almost to the edge of the dance floor. Suddenly, Amy screamed. I whirled around and threw up my arm just in time to knock Dvorov away."
"Thank","v","t:abf0737a975ee71c97737ca491749126f381330a","he looked at me “ – to close it.” “Thank you.” Nepthys bowed slightly and we walked behind the cart."
"Watching","v","t:d3030359c9520d80348cd7fd00846e170066e430","She cooks that way, and I cook that way.' Denise Hale, social icon and Liza Minnelli's stepmother: 'Julia Child gave to all women one beautiful present: Watching her series you found out you don't have to be perfect.' Francis Ford Coppola, film director: 'I think she's a fascinating woman, and I enjoy very much watching her shows with Jacques Pepin.'"
"access","n","t:86e6ce20d2b4e033de4fe17710be3e42ec611b83","For information about becoming a client of this service, contact the New York Times Syndicate sales representatives listed at the end of the text.) BY CHRISTINE SOARES c.2002 Scientific American Intending to ease consumer access to mental health care, New Mexico legislators in March passed a law allowing psychologists to prescribe psychotropic medications, such as antidepressants. The state's action, the first in the nation, has the blessing of the American Psychological Association (APA), which considers prescriptive authority a logical extension of psychologists' role as health-care providers."
"adequately","r","t:eb201055ab373723dea39762c24accd36a373051","Lilienfeld feels that many clinical psychologists already receive inadequate training in fundamentals such as research design and evaluation. RxP opponents charge the APA with pushing its prescription-privileges agenda without adequately assessing support for it in the field. The 300-member SSCP is the only group within the APA to have taken a formal stance against prescription privileges."
"air","n","t:a75a35ffd228dcd3e3874935323a04148029d0c0","The stone was as warm as human flesh now, and there was a sort of glow that might have been light or just the stone’s soft heat, I don’t know. Then there was light, a kind of rosy glow, and I felt the stone slip out of my hand to float in the air. The air around me seemed to still sound, and light came in around the corners of my eyes."
"alley","n","t:716f0efcf727fecb940582af5e50bb1649edda79","As long as I looked at it, it didn’t reveal any magic sparkle or glow. Suddenly, what looked like a little kid darted out of an alley and almost ran into me. I almost tripped over him, and the stone went flying out of the pouch."
"apart","r","t:a3c3cb5910d4aaa26eca5004a2b5324b1605a793","The vampire fell forward and blood began to flow from his mouth. Behind me, Amy was kneeling beside Nepthys, whose arm and rib cage were knitting back together like a wooden toy that falls apart when its string is released but draws itself together at a slight tug. I pulled the vial of liquid that he’d been giving me from his pocket and ran to the altar."
"areas","n","t:591c7ea1c17aca0c80151c56cdbbded6ff5070a9","Contrary to what some restaurants and retailers tell their customers, the U.S. government does not consider the Chilean seabass to be endangered. But in some areas, the seabass are being overfished. That is potentially a problem because Chilean seabass are a long-lived species -- living as long as 50 years -- and reproduce slowly, said Susan Buchanan, a spokeswoman for the federal government's National Marine Fisheries Service."
"arm","n","t:ff70336c28720ffed9e17eb7c8afa3d1d4eae242","I’m telling you, it’s not even worth checking the bar!” I turned to keep going, but he caught my arm again. “Don’t do this, kid!"
"asked","v","t:881f1d2a62b6c00ec38af19635d9aadfeef1ed52","Come on, let’s go.” As we left the bar, I asked to see the rock. “Why?”"
"asked","v","t:fce513af9a841735f4b4c7d733a24d8cf9e45170","“What did you say?” asked Nepthys. She rolled onto her back, her arms crossed tightly over her chest."
"atomic","a","t:ef0b44f22bce824ee1f2a144797a6f11a4c14a7e","He earned a doctorate in history from Stanford University and taught Latin American history at Tulane University and Arizona State University. Next week marks the 57th anniversary of the atomic bombings. As always, Karnes' mind will drift to memories of his good friend Tibbets, 87, who lives in Columbus, Ohio."
"awarded","v","t:a530e7d44fb5b3d91deacf1d2f1dc6bd83c4bb21","That's simply good strategy, said James Leape, deputy director of the conservation program for the David and Lucile Packard Foundation in Los Altos, Calif. In 2000 and 2001, the Packard Foundation awarded $26 million in marine fisheries conservation grants. They included support for marine reserves and money for fisheries management reform."
"babe","n","t:5dd177ecf415bf0684d767e7e565f3c804c9149e","We don’t – ” “Sure, babe. Come on, I don’t have to get fucked up every time we go out just to enjoy myself."
"back","n","t:d913562ed4fb08dca1ce06fb21756b256c468d16","I took about half of the Bloody Mary in one gulp and then ate the celery. Nepthys slapped me on the back. “Okay,” I said, “now that we’re sitting down, can you explain a little more of what’s going on here?"
"bar","n","t:13920b717f63f46b0a09812207c46ceffccc03c8","Something with too many arms was manning the turntables above the crowd, which looked more impenetrable tonight than ever before. Then I saw the bar on the other side of the crowd and knew where to start looking. I tried to slip along the edge of the crowd."
"based","v","t:089a2a8ed1214917476168fdea427f35adade574","Chinese hot-and-sour soup made with egg white and crabmeat often includes bitter melon. It also appears in stir-frys, especially those based on pork. Black bean sauce is a favorite seasoning."
"bed","n","t:e6720a3dcd7fd629238cc67c7b400fe56fe2af02","'We were all appalled,' the pilot said in his book 'The Tibbets Story.' Back on Tinian, Karnes had gone to bed. But he didn't sleep long."
"began","v","t:7469cc48d805c5b193df978b710626105a7ec581","Then her fingers tensed and her arms began to shake. The blood in her palms, still filling up, began to ripple. Shivers swept through her body, and Nepthys reached out to touch her but I stopped him."
"bid","n","t:a0ea86bd8b6dd1dccaba3d7779774de0488afc91","He cited the case of a Swiss oil trader who recently put out bids via telex for an oil tanker to pick up a cargo of crude in the Middle East. Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid. The Soviets' eavesdropping paid off, however, because they got the contract."
"big","a","t:9d6f5610c750919424e3bde11457b53e9282f2ea","T-shirts hanging on the wall are inscribed with the scores of each of the Tigers' five defeats. 'We see that crimson (from the Alabama loss) every day,' tight end Lorenzo Diamond said, 'and that's a big motivational factor for us. 'But I think we've moved past last season."
"big","a","t:47d908a7726fdd8f2aa977dec81ba439ca81fda0","Vandy has big plans By KAREN ROSEN Cox News Service BIRMINGHAM, Ala. -- Since he took the head coaching job at bottom-dwelling Vanderbilt, the question Bobby Johnson is asked most often is not, 'Why will things be different under you?'"
"biggest","a","t:2cac286b85ca6e58989b4855d78722d76fc9538c","The e-commerce free zone is situated in north Dubai, near the industrial free zone in Jebel Ali, the top regional and tenth international leading area in container transit. The inauguration of Dubai Internet City coincides with the opening of an annual IT show in Dubai, the Gulf Information Technology Exhibition (Gitex), the biggest in the Middle East."
"blood","n","t:3b135d711180a4ce0f7302673eba886744babc78","Nepthys stood over him with a blue sword in his hand. It flashed in the strobe where it wasn’t streaked with Dvorov’s blood. “He wasn’t the only one with a secret or two,” he said by way of explanation."
"booth","n","t:acb4f8372794ffd03e475123c46a3f9b2d92e414","Inside, the building opened up. The ceiling was high and wooden, and I could see part of a DJ’s booth down the hall. It looked like we were in the back of a nightclub."
"box","n","t:abc309a577d808e0f9ff37d53ec6843289152989","When we got there, another pale servant was waiting for us with a box of dark stained wood. He offered it to Nepthys, who opened the box: on velvet lining, a wooden hammer and two stakes. “Mountain ash,” said Nepthys."
"boy","n","t:6b382a5d24f6620039aeb2a108b9f64132df191a","He has lovely manners, Nepthys, despite his poor taste in hats. You may leave out the ‘Lady,’ boy. I don’t wish to be reminded of how old I actually am.”"
"broken","v","t:5ab2060ae33d94d9cb5a2df7960a65e2f42a9a03","Then one set of footsteps began walking toward the altar. I was content to let myself drift away, and I had almost forgotten the body lying with broken neck on the cathedral’s hard tiles when I felt a warm touch on its cheek. A girl’s voice, soft and almost recognizable, spoke, “Nathan.”"
